Sample;Tp;Id;hours;Nutrition;AZD;Replicate
A139;T48;19;48;NS;DMSO;1
A140;T48;20;48;NS;DMSO;2
A141;T48;21;48;NS;DMSO;3
A142;T48;22;48;NS;AZD;1
A143;T48;23;48;NS;AZD;2
A144;T48;24;48;NS;AZD;3
A145;T72;1;72;NPS;DMSO;1
A146;T72;2;72;NPS;DMSO;2
A147;T72;3;72;NPS;DMSO;3
A148;T72;4;72;NPS;AZD;1
A149;T72;5;72;NPS;AZD;2
A150;T72;6;72;NPS;AZD;3
A151;T72;7;72;NP;DMSO;1
A152;T72;8;72;NP;DMSO;2
A153;T72;9;72;NP;DMSO;3
A154;T72;10;72;NP;AZD;1
A155;T72;11;72;NP;AZD;2
A156;T72;12;72;NP;AZD;3
A157;T72;13;72;PKS;DMSO;1
A158;T72;14;72;PKS;DMSO;2
A159;T72;15;72;PKS;DMSO;3
A160;T72;16;72;PKS;AZD;1
A161;T72;17;72;PKS;AZD;2
A162;T72;18;72;PKS;AZD;3
A163;T72;19;72;NS;DMSO;1
A164;T72;20;72;NS;DMSO;2
A165;T72;21;72;NS;DMSO;3
A166;T72;22;72;NS;AZD;1
A167;T72;23;72;NS;AZD;2
A168;T72;24;72;NS;AZD;3
